City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Port Elizabeth,ZA,70.11,clear sky,-33.918,25.5701,39 On Nile Guest House
4,Bambous Virieux,MU,77.25,broken clouds,-20.3428,57.7575,Casa Tia Villa
6,Rondonopolis,BR,78.94,moderate rain,-16.4708,-54.6356,Serras Hotel
7,Bethel,US,71.01,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
12,Butaritari,KI,81.37,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
14,Katsuura,JP,73.18,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
15,Rikitea,PF,74.3,few clouds,-23.1203,-134.9692,People ThankYou
22,Ponta Do Sol,PT,83.71,scattered clouds,32.6667,-17.1,Hotel do Campo
24,Lorengau,PG,81.93,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
27,Sorong,ID,82.51,overcast clouds,-0.8833,131.25,waigo splash hotel
36,Hlatikulu,SZ,78.6,few clouds,-26.9667,31.3167,Assegai Inn
47,Mantua,IT,70.43,clear sky,45.1667,10.7833,Hotel la Favorita
49,Kapaa,US,73.72,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
54,Avarua,CK,73.45,light rain,-21.2078,-159.775,Paradise Inn
57,Teguise,ES,71.82,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
61,Ponta Delgada,PT,72.32,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
63,Georgetown,MY,84.13,thunderstorm with light rain,5.4112,100.3354,Cititel Penang
70,Hilo,US,72.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
72,Kahului,US,73.85,moderate rain,20.8947,-156.47,Maui Seaside Hotel
73,Hithadhoo,MV,83.48,overcast clouds,-0.6,73.0833,Scoop Guest House
74,Praia Da Vitoria,PT,71.85,scattered clouds,38.7333,-27.0667,Hotel Branco I
76,Arraial Do Cabo,BR,78.76,light rain,-22.9661,-42.0278,Pousada Porto Praia
77,Atuona,PF,77.0,light rain,-9.8,-139.0333,Villa Enata
83,Namibe,AO,75.83,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
84,El Bordo,CO,74.71,overcast clouds,2.117,-76.9821,Hotel los Balcones Centro
88,Vaini,TO,73.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
89,Axim,GH,84.36,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
92,Coahuayana,MX,81.88,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
96,Dzaoudzi,YT,82.29,clear sky,-12.7887,45.2699,Le Rocher
99,Banepa,NP,73.72,broken clouds,27.6298,85.5214,Dhulikhel Lodge Resort
106,Kindu,CD,80.35,overcast clouds,-2.95,25.95,Résidence Okanda
107,Kasese,UG,74.28,light rain,0.1833,30.0833,Sandton Hotel Kasese
109,Daru,PG,79.32,few clouds,-9.0763,143.2092,Daru Lodge
119,Alot,IN,79.09,overcast clouds,23.7667,75.55,Janki nivas
125,Yarmouth,US,71.02,few clouds,41.7057,-70.2286,Blue Rock Resort
130,Souillac,MU,77.38,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
131,Beira,MZ,84.9,clear sky,-19.8436,34.8389,Beira Terrace Hotel
139,Broome,US,70.38,overcast clouds,42.2506,-75.833,Chenango Valley State Park
140,Kaabong,UG,78.69,broken clouds,3.4836,34.1492,Rock Motel Ltd
145,Maningrida,AU,82.22,scattered clouds,-12.0667,134.2667,Dhukurrdji Lodge
150,Cabo San Lucas,MX,73.15,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
154,Rabo De Peixe,PT,71.11,scattered clouds,37.8,-25.5833,Quinta das Giestas
155,Cockburn Town,TC,81.46,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
156,Mitsamiouli,KM,80.89,broken clouds,-11.3847,43.2844,Foyer ADM
157,Porto Santo,PT,75.58,few clouds,33.072,-16.3415,Hotel Porto Santo & Spa
159,Waddan,LY,77.86,clear sky,29.1614,16.139,محل الشريف محمد العايب
160,Ixtapa,MX,77.23,broken clouds,20.7,-105.2,Hotel Plaza Providencia
161,Funadhoo,MV,81.79,overcast clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
163,Lucapa,AO,82.98,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
164,Sola,VU,80.44,overcast clouds,-13.8833,167.55,Leumerus Bungalows
165,Altamira,BR,84.29,broken clouds,-3.2033,-52.2064,Requinte Hotel
166,Blora,ID,82.09,overcast clouds,-6.9698,111.4186,Hotel Adhi Jaya
167,Mococa,BR,80.96,overcast clouds,-21.4678,-47.0047,Hospedaria Sonhar
171,Mogadishu,SO,84.07,scattered clouds,2.0371,45.3438,Hotel Juba
173,Los Llanos De Aridane,ES,73.15,volcanic ash,28.6585,-17.9182,Valle Aridane
174,Yulara,AU,78.64,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
179,Bucerias,MX,77.99,broken clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
181,Vao,NC,71.96,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
185,Lindi,TZ,81.54,scattered clouds,-10.0,39.7167,Lindi paradise house
189,Kudahuvadhoo,MV,82.92,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
192,Meulaboh,ID,80.69,overcast clouds,4.1363,96.1285,Kost Pria
193,Ribeira Grande,PT,72.0,broken clouds,38.5167,-28.7,Quinta da Meia Eira
195,Tomatlan,MX,76.03,clear sky,19.9333,-105.25,El Salvial
204,Tura,IN,76.6,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
212,Cassilandia,BR,83.25,overcast clouds,-19.1133,-51.7342,Delirius Motel
213,Tomigusuku,JP,80.37,few clouds,26.185,127.675,Hotel Gran View Okinawa
218,Kavaratti,IN,81.37,moderate rain,10.5669,72.642,Hotels in Lakshadweep Islands
225,Elizabethton,US,70.48,mist,36.3487,-82.2107,East Tennessee RV Park
229,Faya,SA,78.91,clear sky,18.3851,42.4509,املاك خالد الشعشوع
238,Fare,PF,79.47,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
249,Saint-Philippe,RE,80.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
250,Tarakan,ID,83.7,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
255,Tiarei,PF,75.22,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
256,San Isidro,PE,71.02,broken clouds,-12.1167,-77.05,Soul Mate-Inn
257,Kampot,KH,80.65,overcast clouds,10.6167,104.1833,Two Moons Hotel
