City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Campbellsville,US,2021-10-16 13:36:43,37.3434,-85.3419,54.68,69,61,3.0,broken clouds
1,Port Elizabeth,ZA,2021-10-16 13:33:49,-33.918,25.5701,70.11,45,0,31.07,clear sky
2,Mehamn,NO,2021-10-16 13:36:43,71.0357,27.8492,39.27,84,100,24.52,light rain
3,Busselton,AU,2021-10-16 13:29:17,-33.65,115.3333,61.09,74,94,10.27,overcast clouds
4,Bambous Virieux,MU,2021-10-16 13:36:44,-20.3428,57.7575,77.25,65,75,16.11,broken clouds
5,Coihaique,CL,2021-10-16 13:36:44,-45.5752,-72.0662,49.95,53,75,9.22,broken clouds
6,Rondonopolis,BR,2021-10-16 13:36:45,-16.4708,-54.6356,78.94,78,100,7.7,moderate rain
7,Bethel,US,2021-10-16 13:36:45,41.3712,-73.414,71.01,83,1,1.01,clear sky
8,Castro,BR,2021-10-16 13:35:51,-24.7911,-50.0119,69.13,77,91,4.07,overcast clouds
9,Ushuaia,AR,2021-10-16 13:33:29,-54.8,-68.3,33.42,86,90,27.63,heavy snow
10,Albany,US,2021-10-16 13:30:02,42.6001,-73.9662,70.66,88,100,1.01,overcast clouds
11,Beloha,MG,2021-10-16 13:36:46,-25.1667,45.05,84.6,37,6,14.74,clear sky
12,Butaritari,KI,2021-10-16 13:35:41,3.0707,172.7902,81.37,73,33,17.69,scattered clouds
13,Dudinka,RU,2021-10-16 13:36:47,69.4058,86.1778,29.37,97,100,19.77,snow
14,Katsuura,JP,2021-10-16 13:36:47,35.1333,140.3,73.18,87,40,24.7,scattered clouds
15,Rikitea,PF,2021-10-16 13:29:06,-23.1203,-134.9692,74.3,76,12,5.53,few clouds
16,Tasiilaq,GL,2021-10-16 13:36:48,65.6145,-37.6368,33.96,69,100,6.96,overcast clouds
17,Talnakh,RU,2021-10-16 13:36:48,69.4865,88.3972,22.87,97,88,10.69,overcast clouds
18,Puerto Ayora,EC,2021-10-16 13:31:49,-0.7393,-90.3518,69.55,90,98,8.01,overcast clouds
19,Sayyan,YE,2021-10-16 13:36:49,15.1718,44.3244,67.86,10,79,15.7,broken clouds
20,Batticaloa,LK,2021-10-16 13:36:49,7.7102,81.6924,85.35,62,86,10.2,overcast clouds
21,Oranjemund,NA,2021-10-16 13:36:50,-28.55,16.4333,60.85,53,4,23.38,clear sky
22,Ponta Do Sol,PT,2021-10-16 13:34:37,32.6667,-17.1,83.71,53,39,2.68,scattered clouds
23,Hermanus,ZA,2021-10-16 13:36:51,-34.4187,19.2345,58.8,59,100,22.01,light rain
24,Lorengau,PG,2021-10-16 13:36:51,-2.0226,147.2712,81.93,83,35,9.71,scattered clouds
25,Pisco,PE,2021-10-16 13:36:52,-13.7,-76.2167,64.45,77,0,10.36,clear sky
26,Upernavik,GL,2021-10-16 13:36:52,72.7868,-56.1549,20.28,53,10,7.29,clear sky
27,Sorong,ID,2021-10-16 13:36:52,-0.8833,131.25,82.51,82,100,12.46,overcast clouds
28,Jamestown,US,2021-10-16 13:30:12,42.097,-79.2353,60.12,99,90,4.0,light rain
29,Linxia,CN,2021-10-16 13:36:53,35.6003,103.2064,47.44,64,81,4.07,broken clouds
30,Sitka,US,2021-10-16 13:36:53,57.0531,-135.33,39.09,87,90,3.44,overcast clouds
31,Port Alfred,ZA,2021-10-16 13:34:39,-33.5906,26.891,65.28,50,19,29.71,few clouds
32,Baruun-Urt,MN,2021-10-16 13:36:54,46.6806,113.2792,26.28,41,4,11.97,clear sky
33,New Norfolk,AU,2021-10-16 13:36:54,-42.7826,147.0587,49.5,64,100,4.16,overcast clouds
34,Bluff,NZ,2021-10-16 13:33:29,-46.6,168.3333,52.57,73,100,13.4,light rain
35,Birao,CF,2021-10-16 13:36:55,10.2849,22.7882,91.6,45,15,1.92,few clouds
36,Hlatikulu,SZ,2021-10-16 13:36:55,-26.9667,31.3167,78.6,52,15,18.9,few clouds
37,Revin,FR,2021-10-16 13:36:56,49.9404,4.635,55.42,55,8,2.37,clear sky
